You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4448.021, avg: -19.595
[epoch][s/s_per_e/gs]: [0][195/3029/195], lr: 0.000099895701, loss: 2.164894104004
[epoch][s/s_per_e/gs]: [0][196/3029/196], lr: 0.000099895167, loss: 2.885148525238
[epoch][s/s_per_e/gs]: [0][197/3029/197], lr: 0.000099894632, loss: 2.599584579468
[epoch][s/s_per_e/gs]: [0][198/3029/198], lr: 0.000099894097, loss: 2.647633790970
[epoch][s/s_per_e/gs]: [0][199/3029/199], lr: 0.000099893562, loss: 2.253644227982
[epoch][s/s_per_e/gs]: [0][200/3029/200], lr: 0.000099893027, loss: 2.847120761871
bts_nyu_v2_pytorch_FAM
GPU: 0 | examples/s: 13.79 | loss: 2.84712 | var sum: -4605.230 avg: -20.287 | time elapsed: 0.04h | time left: 29.37h
[epoch][s/s_per_e/gs]: [0][201/3029/201], lr: 0.000099892492, loss: 2.385899543762
[epoch][s/s_per_e/gs]: [0][202/3029/202], lr: 0.000099891957, loss: 2.166897058487
[epoch][s/s_per_e/gs]: [0][203/3029/203], lr: 0.000099891422, loss: 2.465682744980
[epoch][s/s_per_e/gs]: [0][204/3029/204], lr: 0.000099890887, loss: 2.696573257446
[epoch][s/s_per_e/gs]: [0][205/3029/205], lr: 0.000099890352, loss: 2.569347381592
[epoch][s/s_per_e/gs]: [0][206/3029/206], lr: 0.000099889818, loss: 2.773506164551
[epoch][s/s_per_e/gs]: [0][207/3029/207], lr: 0.000099889283, loss: 2.501501560211
[epoch][s/s_per_e/gs]: [0][208/3029/208], lr: 0.000099888748, loss: 2.605343341827
[epoch][s/s_per_e/gs]: [0][209/3029/209], lr: 0.000099888213, loss: 2.309835910797
[epoch][s/s_per_e/gs]: [0][210/3029/210], lr: 0.000099887678, loss: 3.205573797226
[epoch][s/s_per_e/gs]: [0][211/3029/211], lr: 0.000099887143, loss: 2.414342164993
[epoch][s/s_per_e/gs]: [0][212/3029/212], lr: 0.000099886608, loss: 2.645335435867
[epoch][s/s_per_e/gs]: [0][213/3029/213], lr: 0.000099886073, loss: 2.007068395615
[epoch][s/s_per_e/gs]: [0][214/3029/214], lr: 0.000099885538, loss: 3.012977123260
[epoch][s/s_per_e/gs]: [0][215/3029/215], lr: 0.000099885003, loss: 2.612352371216
[epoch][s/s_per_e/gs]: [0][216/3029/216], lr: 0.000099884468, loss: 2.900351047516
[epoch][s/s_per_e/gs]: [0][217/3029/217], lr: 0.000099883934, loss: 2.793133258820
[epoch][s/s_per_e/gs]: [0][218/3029/218], lr: 0.000099883399, loss: 2.322173595428
[epoch][s/s_per_e/gs]: [0][219/3029/219], lr: 0.000099882864, loss: 2.246727943420
[epoch][s/s_per_e/gs]: [0][220/3029/220], lr: 0.000099882329, loss: 2.322309255600
[epoch][s/s_per_e/gs]: [0][221/3029/221], lr: 0.000099881794, loss: 2.167294502258
[epoch][s/s_per_e/gs]: [0][222/3029/222], lr: 0.000099881259, loss: 2.455078363419
[epoch][s/s_per_e/gs]: [0][223/3029/223], lr: 0.000099880724, loss: 3.096364021301
[epoch][s/s_per_e/gs]: [0][224/3029/224], lr: 0.000099880189, loss: 2.927305936813
[epoch][s/s_per_e/gs]: [0][225/3029/225], lr: 0.000099879654, loss: 2.845094203949
[epoch][s/s_per_e/gs]: [0][226/3029/226], lr: 0.000099879119, loss: 2.523889780045
[epoch][s/s_per_e/gs]: [0][227/3029/227], lr: 0.000099878584, loss: 2.867890596390
[epoch][s/s_per_e/gs]: [0][228/3029/228], lr: 0.000099878050, loss: 2.207588434219
[epoch][s/s_per_e/gs]: [0][229/3029/229], lr: 0.000099877515, loss: 2.278634786606
[epoch][s/s_per_e/gs]: [0][230/3029/230], lr: 0.000099876980, loss: 2.272958278656
[epoch][s/s_per_e/gs]: [0][231/3029/231], lr: 0.000099876445, loss: 2.348332405090
